instancia, otimo, media_solucao, melhor_solucao, media_tempo, gap
bayg29, 1610, 1789.0, 1789.0, 0.00279, 11.11801
bays29, 2020, 2056.0, 2056.0, 0.00411, 1.78218
berlin52, 7542, 8113.0, 8113.0, 0.00977, 7.57094
bier127, 118282, 120460.0, 120460.0, 0.12394, 1.84136
brazil58, 25395, 25932.0, 25932.0, 0.0297, 2.11459
ch130, 6110, 6856.0, 6856.0, 0.09366, 12.20949
ch150, 6528, 6974.0, 6974.0, 0.18287, 6.83211
swiss42, 1273, 1384.0, 1384.0, 0.00931, 8.71956
tsp1, 224726, 231219.0, 231219.0, 51.69242, 2.8893
tsp2, 69495, 72525.0, 72525.0, 37.58798, 4.36003
tsp3, 25181, 26492.0, 26492.0, 28.03481, 5.20631
