instancia, otimo, media_solucao, melhor_solucao, media_tempo, gap
bayg29, 1610, 1623.1, 1620.0, 0.13998, 0.62112
bays29, 2020, 2025.6, 2020.0, 0.10234, 0.0
berlin52, 7542, 7934.8, 7857.0, 0.39018, 4.17661
bier127, 118282, 121377.0, 120343.0, 4.46105, 1.74245
brazil58, 25395, 25718.4, 25628.0, 0.70034, 0.9175
ch130, 6110, 6408.0, 6314.0, 3.9794, 3.33879
ch150, 6528, 6776.1, 6694.0, 4.11825, 2.54289
swiss42, 1273, 1295.1, 1273.0, 0.22637, 0.0
tsp1, 224726, 227821.8, 226837.0, 383.74255, 0.93937
tsp2, 69495, 72199.5, 71734.0, 361.5306, 3.22181
tsp3, 25181, 26101.0, 25778.0, 303.24706, 2.37084
