instancia, otimo, media_solucao, melhor_solucao, media_tempo, gap
bayg29, 1610, 1857.0, 1857.0, 0.00429, 15.34161
bays29, 2020, 2096.0, 2096.0, 0.00427, 3.76238
berlin52, 7542, 8518.0, 8518.0, 0.01365, 12.94086
bier127, 118282, 128564.0, 128564.0, 0.12139, 8.69279
brazil58, 25395, 29406.0, 29406.0, 0.02329, 15.79445
ch130, 6110, 7407.0, 7407.0, 0.13582, 21.2275
ch150, 6528, 8061.0, 8061.0, 0.0884, 23.48346
swiss42, 1273, 1567.0, 1567.0, 0.00755, 23.09505
tsp1, 224726, 289924.0, 289924.0, 60.49116, 29.01222
tsp2, 69495, 86179.0, 86179.0, 33.96676, 24.00748
tsp3, 25181, 30711.0, 30711.0, 25.42077, 21.961
