instancia, otimo, media_solucao, melhor_solucao, media_tempo, gap
bayg29, 1610, 1765.0, 1765.0, 0.01136, 9.62733
bays29, 2020, 2065.0, 2065.0, 0.0116, 2.22772
berlin52, 7542, 8051.0, 8051.0, 0.05155, 6.74887
bier127, 118282, 125213.0, 125213.0, 0.31077, 5.85973
brazil58, 25395, 25932.0, 25932.0, 0.06038, 2.11459
ch130, 6110, 6700.0, 6700.0, 0.4115, 9.6563
ch150, 6528, 6974.0, 6974.0, 0.44219, 6.83211
swiss42, 1273, 1364.0, 1364.0, 0.027, 7.14847
tsp1, 224726, 229508.0, 229508.0, 120.47729, 2.12792
tsp2, 69495, 71827.0, 71827.0, 92.31556, 3.35564
tsp3, 25181, 26911.0, 26911.0, 71.47991, 6.87026
