instancia, otimo, media_solucao, melhor_solucao, media_tempo, gap
bayg29, 1610, 1647.2, 1615.0, 0.09608, 0.31056
bays29, 2020, 2050.5, 2020.0, 0.08734, 0.0
berlin52, 7542, 7984.1, 7758.0, 0.25845, 2.86396
bier127, 118282, 123909.7, 121887.0, 2.20411, 3.0478
brazil58, 25395, 25671.9, 25395.0, 0.52296, 0.0
ch130, 6110, 6449.6, 6324.0, 4.68677, 3.50245
ch150, 6528, 6864.0, 6790.0, 4.36051, 4.01348
swiss42, 1273, 1332.2, 1273.0, 0.18262, 0.0
tsp1, 224726, 230036.1, 227845.0, 323.42684, 1.38791
tsp2, 69495, 72580.0, 72121.0, 391.14906, 3.77869
tsp3, 25181, 26214.6, 25665.0, 306.05719, 1.92208
